species,numInds
Northern Elephant Seal,185
Salmon Shark,141
Blue Marlin,128
California Sea Lion,113
Leatherback Sea Turtle,100
Blue Shark,97
Shortfin Mako Shark,96
Black Marlin,88
White Shark,75
Blue Whale,53
Striped Marlin,52
Northern Fur Seal,44
Juvenile White Shark,32
Ocean Sunfish,29
Southern Elephant Seal,26
Humboldt Squid,24
Pacific Sailfish,24
Common Thresher Shark,23
Laysan Albatross,22
Weddell Seal,22
Black-footed Albatross,21
Galapagos Sea Lion,18
Humpback Whale,18
Sperm Whale,18
Loggerhead Sea Turtle,16
Manta Ray,16
Galapagos Shark,13
Swordfish,12
Silky Shark,10
Sooty Shearwater,9
Grey Reef Shark,8
Crabeater Seal,5
Dolphin-fish,5
Oceanic Whitetip Shark,5
Sandtiger Shark,5
South American Sea Lion,5
Yellowfin Tuna,4
Porbeagle Shark,3
Shortbill Spearfish,3
Fin Whale,2
Atlantic Sailfish,1
Basking Shark,1
Devil Ray,1
Smooth Hammerhead,1
